name,platform,release_date,meta_score,user_review,genre,target_age
Rocket League,Switch,14-Nov-17,86,7.8,Sports,E
Okami HD,PC,12-Dec-17,92,7.9,RPG,T
Enter the Gungeon,Switch,14-Dec-17,87,8.0,Survival,T
SteamWorld Heist: Ultimate Edition,Switch,28-Dec-17,91,8.3,Strategy,E
Celeste,Switch,25-Jan-18,92,8.6,Platformer,E
Crypt of the NecroDancer: Nintendo Switch Edition,Switch,01-Feb-18,86,7.2,Rhythm,E
Night in the Woods,Switch,01-Feb-18,85,7.5,RPG,E
Owlboy,Switch,13-Feb-18,87,7.3,RPG,E
Bayonetta 2,Switch,16-Feb-18,92,8.5,RPG,M
Bayonetta + Bayonetta 2,Switch,16-Feb-18,90,8.7,RPG,M
Shantae and the Pirate`s Curse,Switch,20-Mar-18,86,8.3,Platformer,E
Donkey Kong Country: Tropical Freeze,Switch,04-May-18,86,8.6,Platformer,E
Ikaruga,Switch,29-May-18,88,7.7,Arcade,E
West of Loathing,Switch,31-May-18,85,8.1,RPG,T
Hollow Knight,Switch,12-Jun-18,90,9.0,Platformer,E
Minecraft,Switch,21-Jun-18,86,7.5,Strategy,E
INSIDE,Switch,28-Jun-18,91,8.6,Platformer,M
Sonic Mania Plus,Switch,17-Jul-18,91,8.1,Platformer,E
Iconoclasts,Switch,02-Aug-18,87,7.9,Platformer,T
Dead Cells,Switch,07-Aug-18,89,8.4,Platformer,T
Okami HD,Switch,09-Aug-18,89,8.6,RPG,T
Into the Breach,Switch,28-Aug-18,89,7.8,Strategy,E
The Messenger,Switch,30-Aug-18,86,8.4,Platformer,E
Mini Metro,Switch,30-Aug-18,86,8.4,Strategy,E
Hyper Light Drifter,Switch,06-Sep-18,88,7.7,RPG,T
Bastion,Switch,13-Sep-18,90,7.7,RPG,E
Undertale,Switch,18-Sep-18,93,8.2,RPG,E
Velocity 2X,Switch,20-Sep-18,87,8.0,Survival,E
Dragon Ball FighterZ,Switch,28-Sep-18,87,7.8,Action,T
Guacamelee! Super Turbo Championship Edition,Switch,08-Oct-18,86,8.0,Platformer,E
Transistor,Switch,01-Nov-18,86,8.2,RPG,T
Diablo III: Eternal Collection,Switch,02-Nov-18,88,7.5,RPG,M
Sid Meier`s Civilization VI,Switch,16-Nov-18,86,7.6,Strategy,E
Warframe,Switch,20-Nov-18,86,8.3,Shooting,M
Monster Boy and the Cursed Kingdom,Switch,04-Dec-18,86,8.3,Platformer,E
Katamari Damacy REROLL,Switch,07-Dec-18,87,8.3,RPG,E
Super Smash Bros. Ultimate,Switch,07-Dec-18,93,8.6,Action,E
Guacamelee! 2,Switch,10-Dec-18,87,8.3,Platformer,E
Downwell,Switch,31-Jan-19,88,7.3,RPG,E
BlazBlue: Central Fiction - Special Edition,Switch,07-Feb-19,86,8.5,Action,T
Steins;Gate Elite,Switch,19-Feb-19,85,7.9,Visual Novel,M
Assault Android Cactus+,Switch,08-Mar-19,86,8.4,Survival,E
Blaster Master Zero II,Switch,20-Mar-19,85,8.5,Survival,E
Cuphead,Switch,17-Apr-19,87,8.4,Platformer,E
Final Fantasy XII: The Zodiac Age,Switch,30-Apr-19,85,8.6,RPG,T
Beat Saber,PC,21-May-19,93,8.4,Rhythm,E
Slay the Spire,Switch,06-Jun-19,85,8.3,Strategy,E
Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,Switch,13-Jun-19,85,8.1,Rhythm,E
Super Mario Maker 2,Switch,28-Jun-19,88,8.5,Platformer,E
Final Fantasy XIV: Shadowbringers,PC,02-Jul-19,90,9.1,RPG,T
What Remains of Edith Finch,Switch,04-Jul-19,88,7.8,RPG,T
Dragon Quest Builders 2,Switch,12-Jul-19,85,8.3,Strategy,E
Tetris Effect,PC,23-Jul-19,90,6.6,Strategy,E
Fire Emblem: Three Houses,Switch,26-Jul-19,89,8.8,Strategy,T
Astral Chain,Switch,30-Aug-19,87,9.0,RPG,T
Divinity: Original Sin II - Definitive Edition,Switch,04-Sep-19,93,8.5,RPG,M
Star Wars Pinball,Switch,13-Sep-19,86,7.4,Arcade,E
AI: The Somnium Files,Switch,17-Sep-19,86,8.8,RPG,M
The Legend of Zelda: Link`s Awakening,Switch,20-Sep-19,87,8.4,RPG,E
Ori and the Blind Forest: Definitive Edition,Switch,27-Sep-19,90,8.6,Platformer,E
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Switch,27-Sep-19,91,8.9,RPG,T
Disco Elysium,PC,15-Oct-19,91,8.4,RPG,M
The Witcher 3: Wild Hunt - Complete Edition,Switch,15-Oct-19,85,8.5,RPG,M
Tangle Tower,Switch,22-Oct-19,85,8.3,RPG,T
Luigi`s Mansion 3,Switch,31-Oct-19,86,8.5,RPG,E
Red Dead Redemption 2,PC,05-Nov-19,93,6.2,RPG,M
Kentucky Route Zero: TV Edition,Switch,28-Jan-20,87,7.3,RPG,T
Two Point Hospital,Switch,25-Feb-20,85,8.1,Strategy,E
Half-Life: Alyx,PC,23-Mar-20,93,9.2,Shooting,M
Streets of Rage 4,Switch,30-Apr-20,87,8.6,Survival,T
Huntdown,Switch,12-May-20,86,8.5,Platformer,T
Super Mega Baseball 3,Switch,13-May-20,87,7.8,Sports,E
Bug Fables: The Everlasting Sapling,Switch,28-May-20,85,8.5,RPG,E
Xenoblade Chronicles: Definitive Edition,Switch,29-May-20,89,9.0,RPG,T
Heroes of Hammerwatch - Ultimate Edition,Switch,29-Jul-20,85,7.4,RPG,T
Factorio,PC,14-Aug-20,91,9.1,Strategy,E
Microsoft Flight Simulator,PC,18-Aug-20,91,7.2,Strategy,E
A Short Hike,Switch,18-Aug-20,88,8.7,RPG,E
