name,platform,release_date,meta_score,user_review,genre,target_age
Red Dead Redemption,PlayStation,18-May-10,95.2,8.91,Open World,M
Monkey Island 2 Special Edition: LeChuck`s Revenge,PlayStation,06-Jul-10,87,8.09,Point and Click,E
BlazBlue: Continuum Shift,PlayStation,27-Jul-10,86.7,8.11,Fighting,T
Starcraft II: Wings of Liberty,PC,27-Jul-10,92.9,8.31,RTS,T
NHL 11,PlayStation,07-Sep-10,87.9,7.21,Sports,E
FIFA Sports 11,PlayStation,28-Sep-10,88.9,8.12,Sports,E
NBA 2K11,PlayStation,05-Oct-10,89,7.99,Sports,E
Rock Band 3,PlayStation,26-Oct-10,90.6,8.08,Rhythm,T
Red Dead Redemption: Undead Nightmare Pack,PlayStation,26-Oct-10,87.1,8.3,Open World,M
Call of Duty: Black Ops,PlayStation,09-Nov-10,88.3,6.84,FPS,M
Need for Speed: Hot Pursuit,PlayStation,16-Nov-10,89.2,7.39,Racing,E
Assassin`s Creed: Brotherhood,PlayStation,16-Nov-10,89.9,8.27,Open World,M
Pac-Man Championship Edition DX,PlayStation,23-Nov-10,90.7,7.89,Arcade,E
World of Warcraft: Cataclysm,PC,07-Dec-10,90,5.78,RPG,M
Battlefield: Bad Company 2 Vietnam,PlayStation,21-Dec-10,88.2,8.22,FPS,M
Mass Effect 2,PlayStation,17-Jan-11,94.4,8.72,RPG,M
LittleBigPlanet 2,PlayStation,18-Jan-11,90.6,8.56,Platformer,E
Dead Space 2,PlayStation,25-Jan-11,88.8,8.49,Survival,M
MLB 11: The Show,PlayStation,08-Mar-11,90.1,8,Sports,E
Portal 2,PC,18-Apr-11,95.2,9.11,FPS,T
Portal 2,PlayStation,19-Apr-11,95.3,8.75,FPS,T
L.A. Noire,PlayStation,17-May-11,89.2,7.79,Open World,M
DiRT 3,PlayStation,24-May-11,87.1,7.17,Racing,T
LIMBO,PlayStation,19-Jul-11,89.9,8.04,Platformer,T
Deus Ex: Human Revolution,PlayStation,23-Aug-11,88.8,8.3,Adventure,M
FIFA Sports 12,PlayStation,27-Sep-11,90.3,7.16,Sports,E
The ICO & Shadow of the Colossus Collection,PlayStation,27-Sep-11,92.1,8.7,Adventure,T
NBA 2K12,PlayStation,04-Oct-11,90.4,6.8,Sports,E
Dark Souls,PlayStation,04-Oct-11,88.6,8.86,RPG,M
Batman: Arkham City,PlayStation,18-Oct-11,95.5,8.84,Adventure,T
Uncharted 3: Drake`s Deception,PlayStation,01-Nov-11,91.5,8.41,Adventure,T
Call of Duty: Modern Warfare 3,PlayStation,08-Nov-11,87.6,3.28,FPS,M
Metal Gear Solid HD Collection,PlayStation,08-Nov-11,89.2,8.92,Adventure,M
The Elder Scrolls V: Skyrim,PC,10-Nov-11,94,8.39,RPG,M
The Elder Scrolls V: Skyrim,PlayStation,11-Nov-11,91.8,6.6,RPG,M
Rayman Origins,PlayStation,15-Nov-11,87.3,8.52,Platformer,T
Minecraft,PC,18-Nov-11,93.1,7.99,Sandbox,E
Batman: Arkham City,PC,21-Nov-11,90.9,8.68,Adventure,T
Mass Effect 3,PlayStation,05-Mar-12,93.5,5.82,RPG,M
Journey,PlayStation,13-Mar-12,91.6,8.78,Platformer,E
Max Payne 3,PlayStation,15-May-12,87.3,7.9,TPS,M
The Walking Dead: Episode 3 - Long Road Ahead,PlayStation,28-Aug-12,86.8,7.91,Point and Click,M
Borderlands 2,PlayStation,18-Sep-12,90.7,8.24,FPS,M
FIFA Sports 13,PlayStation,25-Sep-12,88,6.63,Sports,E
NBA 2K13,PlayStation,02-Oct-12,89.9,8.03,Sports,E
Dishonored,PC,08-Oct-12,90.7,8.49,Adventure,M
Dishonored,PlayStation,09-Oct-12,89.2,7.95,Adventure,M
XCOM: Enemy Unknown,PlayStation,09-Oct-12,89.5,8.2,Strategy,M
Mark of the Ninja,PC,16-Oct-12,90.7,7.97,Platformer,M
Okami HD,PlayStation,30-Oct-12,89.5,9,Adventure,T
The Walking Dead: Episode 5 - No Time Left,PlayStation,20-Nov-12,88.3,8.71,Point and Click,M
Far Cry 3,PlayStation,04-Dec-12,89.6,8.65,FPS,M
MLB 13: The Show,PlayStation,05-Mar-13,87.1,7.91,Sports,E
Tomb Raider,PlayStation,05-Mar-13,87,8.27,Adventure,M
BioShock Infinite,PC,25-Mar-13,93.7,8.65,FPS,M
BioShock Infinite,PlayStation,26-Mar-13,93.7,8.46,FPS,M
Fez,PC,01-May-13,91.5,6.73,Platformer,E
The Last of Us,PlayStation,14-Jun-13,94.7,9.24,Adventure,E
Hotline Miami,PlayStation,25-Jun-13,86.6,8.31,Adventure,M
Spelunky,PC,08-Aug-13,89.9,7.37,Platformer,T
Rayman Legends,PlayStation,03-Sep-13,91.2,8.74,Platformer,E
Grand Theft Auto V,PlayStation,17-Sep-13,96.7,8.31,Open World,M
Assassin`s Creed IV: Black Flag,PlayStation,29-Oct-13,87.7,8.17,Open World,M
The Last of Us: Left Behind,PlayStation,14-Feb-14,87.6,4.66,Adventure,E
Dark Souls II,PlayStation,11-Mar-14,91.5,8.07,RPG,T
Dark Souls II,PC,25-Apr-14,91.1,7.2,RPG,T
Kentucky Route Zero - Act III,PC,06-May-14,90.8,6.58,Adventure,E
The Walking Dead: Season Two Episode 5 - No Going Back,PlayStation,26-Aug-14,87.1,8.06,Point and Click,M
Grand Theft Auto V,PC,13-Apr-15,95.7,7.76,Open World,M
The Witcher 3: Wild Hunt,PC,18-May-15,92.5,9.43,RPG,M
Metal Gear Solid V: The Phantom Pain,PC,01-Sep-15,90.6,7.83,Open World,M
Undertale,PC,15-Sep-15,91.6,8.44,JRPG,E
